engine_version,strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR1.5_DL1,678,197,481,29.06,-9999.96,0.04,-100.0,100.0,-14.7492,-1.0,,0.02,1.0,1.5,2.82,4.22,1
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR1.5_DL2,1147,345,802,30.08,-10000.06,-0.06,-100.0,100.0,-8.7184,-1.0,,0.02,1.0,1.5,2.81,4.2,2
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR1.5_DL3,1436,425,1011,29.6,-10000.1,-0.1,-100.0,100.0,-6.9639,-1.0,,0.02,1.0,1.5,2.69,4.02,3
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR1.75_DL1,664,174,490,26.2,-9999.95,0.05,-100.0,100.0,-15.0602,-1.0,,0.02,1.0,1.75,2.82,4.93,1
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR1.75_DL2,1124,302,822,26.87,-10000.05,-0.05,-100.0,100.0,-8.8968,-1.0,,0.02,1.0,1.75,2.8,4.89,2
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR1.75_DL3,1420,375,1045,26.41,-10000.1,-0.1,-100.0,100.0,-7.0423,-1.0,,0.02,1.0,1.75,2.68,4.68,3
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR2.0_DL1,658,162,496,24.62,-9999.93,0.07,-100.0,100.0,-15.1975,-1.0,,0.02,1.0,2.0,2.83,5.66,1
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR2.0_DL2,1111,278,833,25.02,-10000.05,-0.05,-100.0,100.0,-9.0009,-1.0,,0.02,1.0,2.0,2.8,5.59,2
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR2.0_DL3,1409,345,1064,24.49,-10000.1,-0.1,-100.0,100.0,-7.0973,-1.0,,0.02,1.0,2.0,2.67,5.34,3
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR2.5_DL1,641,141,500,22.0,-9999.87,0.13,-100.0,100.0,-15.6004,-1.0,,0.02,1.0,2.5,2.8,7.0,1
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR2.5_DL2,1088,244,844,22.43,-10000.04,-0.04,-100.0,100.0,-9.1912,-1.0,,0.02,1.0,2.5,2.77,6.92,2
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR2.5_DL3,1382,303,1079,21.92,-10000.09,-0.09,-100.0,100.0,-7.236,-1.0,,0.02,1.0,2.5,2.66,6.64,3
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR3.0_DL1,624,118,506,18.91,-9999.86,0.14,-100.0,100.0,-16.0254,-1.0,,0.02,1.0,3.0,2.82,8.43,1
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR3.0_DL2,1055,198,857,18.77,-10000.04,-0.04,-100.0,100.0,-9.4787,-1.0,,0.02,1.0,3.0,2.76,8.28,2
v1_backtest_atr,FULL,FULL_R0.02_ATR1.0_RR3.0_DL3,1355,255,1100,18.82,-10000.08,-0.08,-100.0,100.0,-7.3801,-1.0,,0.02,1.0,3.0,2.66,7.97,3
v1_backtest_atr,FULL,FULL_R0.02_ATR1.25_RR1.5_DL1,676,207,469,30.62,-9999.67,0.33,-100.0,100.0,-14.7924,-1.0,,0.02,1.25,1.5,3.56,5.34,1
v1_backtest_atr,FULL,FULL_R0.02_ATR1.25_RR1.5_DL2,1130,355,775,31.42,-10000.03,-0.03,-100.0,100.0,-8.8496,-1.0,,0.02,1.25,1.5,3.54,5.31,2
v1_backtest_atr,FULL,FULL_R0.02_ATR1.25_RR1.5_DL3,1400,432,968,30.86,-10000.08,-0.08,-100.0,100.0,-7.1429,-1.0,,0.02,1.25,1.5,3.36,5.04,3
v1_backtest_atr,FULL,FULL_R0.02_ATR1.25_RR1.75_DL1,667,191,476,28.64,-9999.51,0.49,-100.0,100.0,-14.9918,-1.0,,0.02,1.25,1.75,3.55,6.22,1
